participantId,householdSize,haveKids,age,educationLevel,interestGroup,joviality,engels,apartmentId,locationX,locationY,Education,Food,Recreation,Shelter,Wage,RentAdjustment
15,3,True,35,HighSchoolOrCollege,I,0.232266068,0.2053790265240749,930,-1662.1497492873168,5616.28437419331,608.0860728582386,3856.269539174667,5371.568483556982,8940.431038816341,92746.46650123516,0.0
16,3,True,39,Bachelors,J,0.392189088,0.2175780383365733,101,1831.08936976338,5326.192433295153,204.99912029105585,4007.0676724652863,5207.0193408628165,8997.605657060192,143943.18398092233,0.0
17,3,True,57,Bachelors,I,0.114667399,0.2296114933758805,1003,-1704.7713283737935,5630.22569812214,608.0860728582386,4454.535091739866,5397.261893439867,8940.431038816341,260239.1539325969,0.0
18,3,True,20,Graduate,I,0.32696558,0.207342225102317,482,-1062.3812299904594,3002.1215906661346,1458.2962215809964,4277.555727464249,5940.612965970134,8953.948042853703,260534.6463852384,0.0
19,3,True,25,Bachelors,B,0.486470164,0.268512892541296,276,1792.288740518518,3445.633257478743,204.99912029105585,6031.268308383403,7088.734378542417,9136.743888870402,133765.39076587607,0.0
20,3,True,41,HighSchoolOrCollege,I,0.619057739,0.2462345731152659,301,-1435.4128878299682,2057.4318747557327,204.99912029105585,5135.454029579492,6332.365771147617,9183.123299473806,87945.38973091019,0.0
21,3,True,35,Low,E,0.931240975,0.1876211449156628,169,1409.39952910468,3410.1712682211246,204.99912029105585,4987.999272618295,10377.377328465123,11015.110018308224,35707.078993931995,0.0
22,3,True,25,HighSchoolOrCollege,E,0.663815663,0.218654286841748,88,1621.7516640707404,4457.745004135188,204.99912029105585,6397.996581709395,6424.997896869186,16232.793711191072,50906.40816026592,0.0
23,3,True,57,Low,B,0.260211811,0.1755980828234296,532,-1108.701325240046,3076.5769666578326,1458.2962215809964,4362.235310703408,10067.678383327744,8953.948042853703,76544.93686507254,0.0
24,3,True,44,Bachelors,D,0.607328128,0.2293257893104211,309,-1530.7039862202507,2057.4318747557327,204.99912029105585,4435.41278293794,5517.563747725551,9183.123299473806,119793.19552113474,0.0
25,3,True,38,HighSchoolOrCollege,J,0.520535752,0.2983916244184128,273,-1702.1057284608669,2048.271560857532,204.99912029105585,5835.043813939857,4123.11166762235,9391.83064718912,86185.13907224798,0.0
26,3,True,28,HighSchoolOrCollege,F,0.549177225,0.2553871639453409,371,-1627.3229182469468,2048.271560857532,204.99912029105585,5865.932021587181,7506.019926377962,9391.83064718912,80802.60239302178,0.0
27,3,True,45,HighSchoolOrCollege,D,0.135148815,0.2156617833066152,1239,-1551.3343645385485,5650.818929732952,608.0860728582386,4361.338260799335,6252.577983418221,9001.044130604927,92012.94643286469,0.0
28,3,True,54,Bachelors,A,0.230073813,0.1672680854857674,1254,-1551.3343645385485,5676.174237812989,608.0860728582386,3820.744182151487,9412.164913487546,9001.044130604927,201708.6014726477,0.0
29,3,True,18,Low,C,0.607853294,0.2334630795283478,344,2217.5168940808653,4848.952197366105,204.99912029105585,4426.273253222969,4472.3030267308495,9855.624753223148,67447.85098965572,0.0
30,3,True,49,HighSchoolOrCollege,C,0.681423545,0.2032927664242563,284,678.0809284400252,2936.8175399850243,204.99912029105585,6313.019781966723,6930.887785509123,17604.927115605795,30751.38873648312,3852.019590089531
31,3,True,40,Graduate,F,0.23266675,0.2183241762874298,810,-1190.9491044172587,2889.1141360057463,1458.2962215809964,4363.390315702663,5086.410151260767,9077.73534298532,220293.2949790261,0.0
32,3,True,33,HighSchoolOrCollege,C,0.189498641,0.2385291589698215,1146,-625.5724812374312,6284.072402551033,608.0860728582386,4279.104240711611,3930.082945002605,9122.270314182098,89573.44774801233,0.0
33,3,True,21,Bachelors,D,0.094585958,0.2533688918585763,1397,-4588.788594815711,7076.2404077290485,1171.1656343569832,4542.137074799115,3040.256857201122,9173.412610378717,178931.49073579058,0.0
34,3,True,23,Low,B,0.767112453,0.1251795792871376,35,2050.180926104707,4335.0803589938605,204.99912029105585,4045.038135262522,9425.179943336188,18638.66465227057,61204.50284499126,2095.946974752313
35,3,True,20,Low,J,0.707950782,0.2631212350149174,215,1491.7960329571924,3427.9695688061133,204.99912029105585,6498.84348456766,7977.250694762958,10017.952690335058,30195.02783089976,0.0
36,3,True,41,Graduate,G,0.348019484,0.2249435364786498,111,-1851.7810522771383,1845.2751568334247,204.99912029105585,4388.821052631383,4643.907930742152,10273.039448653775,216902.4544566621,0.0
37,3,True,54,HighSchoolOrCollege,G,0.174975799,0.192217618864238,1080,-2401.058309657752,6214.165374816003,608.0860728582386,4033.543667201975,7159.74256910642,9182.883405970684,89511.75621153339,0.0
38,3,True,34,Low,D,0.215116214,0.2092940382556386,1216,-1845.1054225181472,6223.628607476944,608.0860728582386,4321.952635949439,6537.224788452889,9182.883405970684,74375.4551567175,0.0
39,3,True,54,Bachelors,G,0.862950926,0.1661400669199363,188,1259.7550319545578,4768.65403499302,204.99912029105585,4125.066749568159,8509.706182330223,11989.077640979687,58671.86857355816,0.0
40,3,True,55,Low,I,0.880410054,0.2493958471004348,977,4.502697650541232,5359.332759482619,608.0860728582386,6179.723510043486,8353.483537252992,9637.481594385074,33262.524063165416,0.0
41,3,True,41,HighSchoolOrCollege,F,0.863663966,0.2724164361791251,245,1404.7963985230203,3346.4336047045435,204.99912029105585,6441.904472246704,6356.289667792316,10644.074733481,30380.1010833752,0.0
42,3,True,24,HighSchoolOrCollege,J,0.055283617,0.2199670300971783,1471,-4411.712652636556,4644.449348411632,1171.1656343569832,4174.206796340899,4402.795481167127,9228.343224812124,86353.5597196335,0.0
43,3,True,48,Bachelors,E,0.045228735,0.1912561558218992,934,-615.3610400980101,6219.202532754804,608.0860728582386,4203.068599018968,7921.470754161538,9243.496497759268,174285.610933751,0.0
45,3,True,50,Graduate,E,0.179657824,0.2090115161374934,955,-2495.13905368497,6791.116922785467,608.0860728582386,3897.3741756815234,4897.739128189173,9243.496497759268,214004.8584964916,0.0
46,3,True,47,HighSchoolOrCollege,D,0.225049088,0.1876652136635992,985,-574.8545408956802,6184.855099073229,608.0860728582386,4061.326807154205,7728.43121950258,9243.496497759268,85533.77147023976,0.0
47,3,True,58,HighSchoolOrCollege,C,0.424159724,0.2960339536569079,58,-1473.1756324816884,954.9226790202227,204.99912029105585,6101.845613356869,3661.059456169431,10644.074733481,79360.39165229234,0.0
48,3,True,42,HighSchoolOrCollege,F,0.485827661,0.2793944507427844,115,1217.507750681753,3514.1697849435245,204.99912029105585,6510.821416476476,5943.435913198823,10644.074733481,77244.51595729646,0.0
49,3,True,54,Graduate,D,0.229589642,0.2343412336615081,1247,-1670.2879810541003,6254.208538501094,608.0860728582386,4319.921312667953,4232.509665370152,9273.803043653565,212131.73184767665,0.0
50,3,True,45,HighSchoolOrCollege,H,0.576174771,0.1897698282154897,279,2179.510365288092,4964.080440343192,204.99912029105585,4431.885536711559,8073.045713420522,10644.074733481,76269.51356565136,0.0
51,3,True,26,Graduate,G,0.374354513,0.2899787470676306,90,1352.5746952525114,3257.1881835177824,204.99912029105585,6264.048722374679,4442.249126802115,10690.454144084404,196450.93198425512,0.0
52,3,True,39,HighSchoolOrCollege,B,0.730126771,0.2205040796610366,336,567.7208874125674,1914.361542968374,204.99912029105585,6428.737230196439,8120.188125520636,14400.806992356647,40515.42046714251,0.0
53,3,True,19,Low,H,0.140697641,0.2003027368167872,1599,-3324.5781138055304,7755.314857560063,608.0860728582386,3814.376673162636,5337.321606452499,9283.273839245529,64622.77502751327,0.0
54,3,True,32,Graduate,I,0.778504463,0.1099654898442128,196,1024.2373011492627,4571.087727993299,204.99912029105585,4011.3271368345136,7360.029296523553,24901.69899343949,123820.82061581392,0.0
55,3,True,37,HighSchoolOrCollege,J,0.770806686,0.2748538320767464,92,-1585.4991059842016,1889.1871542928045,204.99912029105585,6798.46407592449,7027.608997086939,10703.76240789812,30957.24043585093,0.0
56,3,True,40,Graduate,G,0.734056857,0.2166625873750231,44,2253.3211062717032,4060.927915440901,204.99912029105585,6325.245958040039,5574.651794789924,17089.095660031995,53049.277977504666,0.0
57,3,True,56,Graduate,A,0.422849796,0.1868115054063463,16,2211.1188040814286,5227.989103585554,204.99912029105585,3856.186107419445,5681.776467879095,10899.161491799718,168620.2193295898,0.0
58,3,True,40,Graduate,J,0.192945633,0.2239237352919949,682,-1095.8438546268312,2495.769897064819,204.99912029105585,4138.473790848798,4854.1013930062245,9284.04750987135,208993.29746384057,0.0
59,3,True,35,Bachelors,C,0.186308253,0.2067632323817536,1165,-2514.175452075128,6215.348693777564,608.0860728582386,4041.2674154262586,5561.617478583382,9334.416135442149,169946.016482374,0.0
60,3,True,46,HighSchoolOrCollege,D,0.411129251,0.2441614880646965,266,1274.271591356552,1163.5051209752276,204.99912029105585,5865.452503658144,6960.4686434717205,10991.920313006523,74342.07413355904,0.0
61,3,True,44,HighSchoolOrCollege,F,0.598278749,0.2889882677230108,22,-1396.3194484189332,2171.962600676111,204.99912029105585,6410.7387639314165,4418.770558376381,11148.879189164714,74830.64695846575,0.0
62,3,True,57,Bachelors,A,0.491406814,0.2103557713427097,352,-1406.4414272258414,2146.978780438601,204.99912029105585,4296.4228471846445,4774.253015372061,11148.879189164714,114362.45860699368,0.0
63,3,True,36,HighSchoolOrCollege,G,0.583943591,0.2719318312823974,17,2123.90626782597,5021.749305819725,204.99912029105585,6323.272557465657,5547.443657652963,11177.437955420137,73902.35725947487,0.0
64,3,True,52,HighSchoolOrCollege,I,0.330606159,0.2807089981411864,320,-486.82641406796574,1855.0243750093,204.99912029105585,6604.581066761732,5541.194741675047,11177.437955420137,70725.57180575699,0.0
65,3,True,23,HighSchoolOrCollege,I,0.498178653,0.1776519995782009,365,967.0498054893424,343.3889251176581,204.99912029105585,3821.206431187945,6305.860693788922,11177.437955420137,69813.41786220523,0.0
66,3,True,51,Bachelors,J,0.773765426,0.1514415501711952,190,-1021.5011386286116,1340.518679223127,204.99912029105585,5443.49676616307,11509.359274715298,18786.684233795404,98061.42628629484,0.0
67,3,True,19,HighSchoolOrCollege,C,0.438788793,0.2960719508532842,33,1749.5557672904667,5245.752715136367,204.99912029105585,5936.566342293276,2731.386606976634,11178.141339267508,69665.73424783921,0.0
68,3,True,42,HighSchoolOrCollege,G,0.519538618,0.2823544267789182,109,-1459.3383959982882,876.0742311345832,204.99912029105585,6054.807612964083,3960.373368857214,11223.817366023535,67691.25246798225,0.0
69,3,True,24,Bachelors,B,0.743901318,0.2363932948230421,192,537.5487781075327,4325.595357065675,204.99912029105585,7207.431318126041,5869.96116042658,17206.761333862538,64957.58757176052,0.0
70,3,True,49,HighSchoolOrCollege,D,0.72544679,0.1826581844083146,74,2233.214439882725,4053.359048843635,204.99912029105585,4611.0318888619895,6885.22862418786,13542.787896193688,39949.14900193959,0.0
71,3,True,59,Bachelors,J,0.947066909,0.2479948517756588,322,2233.214439882725,4053.359048843635,204.99912029105585,6708.459261142356,6594.554225324321,13542.787896193688,39986.06133647064,0.0
72,3,True,21,Bachelors,B,0.218744284,0.2053492079717269,1269,-501.2049745494901,6212.625748319062,608.0860728582386,4313.064202494746,6687.379484060058,9395.029227230732,159976.77640963483,0.0
73,3,True,32,Bachelors,H,0.381370977,0.276061855038005,73,-1340.7911019175422,2119.691752326308,204.99912029105585,6312.130679259518,5111.11894181513,11236.665639473098,106800.56729283008,0.0
74,3,True,48,HighSchoolOrCollege,B,0.904601349,0.2704263853632765,1085,12.631829182070042,5340.500579439835,608.0860728582386,6676.828491673015,7767.607675967305,9637.481594385074,28117.896427507618,0.0
75,2,False,59,HighSchoolOrCollege,A,0.791342831,0.1719139317688394,325,1250.452126424467,4840.237968877947,0.0,4883.618067108561,8892.65011924421,14631.075051397262,43557.676837715895,0.0
76,2,False,34,HighSchoolOrCollege,I,0.362917704,0.2231158663962022,76,-1328.614452264042,2167.516377015989,0.0,4495.271432157007,4415.762438786796,11236.665639473098,67084.90336922728,0.0
77,2,False,20,HighSchoolOrCollege,C,0.621716267,0.1945242630438338,134,1999.480720149992,5322.478792532552,0.0,4366.676922897938,6756.851792234147,11324.45208978148,66753.21886695201,0.0
78,2,False,24,Graduate,B,0.188638917,0.2556223479055015,641,-2504.354038196296,2481.628836470987,0.0,5156.311656832981,5607.453156915131,9407.834810002969,197047.8910860025,0.0
79,2,False,56,HighSchoolOrCollege,C,0.03403389,0.2625027395895094,764,-2442.600075911881,2438.3864739217074,0.0,4025.607010391701,1902.0438841993976,9407.834810002969,86442.5816932032,0.0
80,2,False,59,HighSchoolOrCollege,E,0.40138993,0.2966301130223106,28,1910.8047260903031,5326.192433295153,0.0,5908.907904653666,2657.4993982443184,11353.714239884275,66117.56930993198,0.0
81,2,False,27,Graduate,D,0.871320255,0.190884837793264,257,593.9684897030291,3555.941753443666,0.0,5809.408301171298,6686.993996407756,17937.698013013036,84631.1489445773,0.0
82,2,False,40,Graduate,H,0.955760648,0.2581997580603272,202,504.5104637805797,1477.886760892753,0.0,8350.330311835009,6922.628059020127,17067.623102052326,92695.64493593213,0.0
83,2,False,53,HighSchoolOrCollege,C,0.027148207,0.3086184579635812,910,-127.2664472632572,3412.3933194691285,0.0,4423.593441758877,484.60569727902106,9425.335773125023,84603.44531493446,0.0
84,2,False,33,HighSchoolOrCollege,J,0.455102277,0.2813372852562116,298,-1950.112367518641,2081.396323862277,0.0,6441.148396488676,5012.106546660232,11441.50069019266,64813.4375829076,0.0
85,2,False,45,HighSchoolOrCollege,A,0.354510651,0.2287988730769361,349,-1354.973768504102,1981.2146090058627,0.0,5780.714427739225,8043.269584850704,11441.50069019266,64111.67663385436,0.0
86,2,False,31,HighSchoolOrCollege,C,0.399201318,0.2989273802045743,288,-1628.8496403161969,797.2604866084483,0.0,6209.825241561759,3108.152054462377,11455.714419040554,63081.42514195539,0.0
87,2,False,58,HighSchoolOrCollege,A,0.725176476,0.2539961804405627,905,353.46630938349324,5036.394910300052,0.0,6301.694561258542,8446.72639581233,10061.773236905172,33349.296465521336,0.0
88,2,False,20,HighSchoolOrCollege,A,0.746921002,0.3067754067046638,1163,4.502697650541232,5359.332759482619,0.0,7262.838307934608,6774.453724259277,9637.481594385074,28527.778493359885,0.0
89,2,False,54,HighSchoolOrCollege,J,0.169054036,0.2295087497593185,577,-1226.993143660362,3218.864741533599,0.0,4315.766115186436,5039.500831087585,9449.097243380174,83266.93603383917,0.0
90,2,False,20,HighSchoolOrCollege,E,0.139818869,0.2158914169189984,771,-1136.94740500444,3205.4960456386566,0.0,3740.5958098643378,4136.590053544277,9449.097243380174,81819.98799793371,0.0
91,2,False,41,HighSchoolOrCollege,E,0.733204092,0.2779145564536447,1050,-100.94272074299435,5328.444832535462,0.0,6355.966839771332,6785.851181435016,9728.401232067952,28159.73470980566,0.0
92,2,False,43,HighSchoolOrCollege,J,0.467868166,0.1913561902526325,106,2015.6012258387632,4877.664215132254,0.0,4044.566879823657,5562.472295975458,11529.28714050104,61822.96045414757,0.0
93,2,False,48,HighSchoolOrCollege,B,0.580101654,0.2625438161124307,187,1792.288740518518,3445.633257478743,0.0,5832.389089773015,4853.24079247302,11529.28714050104,59434.6068388821,0.0
94,2,False,23,Bachelors,C,0.413830119,0.2833037474942175,367,2035.1726279289169,4888.173729217788,0.0,5915.105110992615,3434.629516876514,11529.28714050104,105627.69331218112,0.0
95,2,False,47,Low,H,0.451218504,0.1958004232934376,121,-1423.5831222046177,1973.3137542599504,0.0,4372.802985078529,6372.345388735762,11587.811440706631,56509.85962713126,0.0
96,2,False,23,HighSchoolOrCollege,B,0.504845427,0.2585257624726922,122,-1436.7396484852209,1991.45221093596,0.0,5896.408543110754,5323.598032901878,11587.811440706631,59354.64310005072,0.0
97,2,False,56,Graduate,J,0.679506778,0.2391971814292444,2,-185.9292838076562,1520.3270983045118,0.0,7395.414378930767,7289.440415357578,16232.793711191072,84740.21332628278,0.0
98,2,False,55,HighSchoolOrCollege,B,0.366630644,0.3038264377785491,229,-1423.5831222046177,1973.3137542599504,0.0,6457.843243069562,3209.38582647891,11587.811440706631,58709.02434158835,0.0
99,2,False,31,Bachelors,H,0.39686665,0.2854823073260381,93,-365.1259862615887,1859.8642843940088,0.0,6339.4046025496,4248.498698412214,11618.042356152464,98597.13385897638,0.0
100,2,False,29,Low,F,0.142686163,0.2270182818319285,1503,-4579.0797589232825,7267.629836792702,0.0,4555.357790899768,5952.754711519105,9557.926911412556,57407.85008346399,0.0
101,2,False,38,HighSchoolOrCollege,A,0.020504586,0.2948391804999357,1591,-4503.988170041366,4735.108702736576,0.0,4019.2917087941023,0.0,9612.85752584596,81011.44895163437,0.0
102,2,False,56,Bachelors,A,0.265501227,0.196635840071264,909,-565.5506282661323,5120.385828479983,0.0,4311.334225458469,7976.6593320716465,9637.481594385074,158275.06407558863,0.0
103,2,False,18,Bachelors,J,0.194724115,0.2330012356681287,938,-436.3311441380732,5254.480460709678,0.0,4163.16528975069,4066.920546624232,9637.481594385074,151652.06355957652,0.0
104,2,False,47,HighSchoolOrCollege,F,0.991414933,0.1950046383439794,1053,345.06266211374634,5055.5261801554925,0.0,4396.713164169258,8088.224290051045,10061.773236905172,33285.84728165898,0.0
105,2,False,52,HighSchoolOrCollege,J,0.851915894,0.296078006371217,154,2191.451754179263,4945.821523930677,0.0,8136.47436378272,5913.045639838704,13431.326897182684,44931.70478529745,0.0
106,2,False,34,Bachelors,A,0.700811306,0.1640194497026927,306,2066.773710519912,4943.225138225304,0.0,4428.179602958775,8199.429016515878,14370.284685163577,79522.99031916076,0.0
107,2,False,26,HighSchoolOrCollege,C,0.357131296,0.2973320630558911,206,-322.33161360663064,1859.8642843940088,0.0,6078.667202016939,2747.325772370439,11618.042356152464,57971.05797337594,0.0
108,2,False,36,HighSchoolOrCollege,C,0.098903572,0.2545488526045419,1195,-532.2489505367064,5229.883061527234,0.0,4353.34369261026,3111.3680565097684,9637.481594385074,80559.65226757278,0.0
109,2,False,52,HighSchoolOrCollege,C,0.290464519,0.1734598006457891,649,-2607.270681970669,3055.5973831255787,0.0,4236.621027233228,10532.193569794066,9655.409410266204,80681.91286442245,0.0
110,2,False,26,HighSchoolOrCollege,D,0.313305546,0.2018587992196852,679,-2630.616474889044,3064.0675917101144,0.0,4341.0194419338495,7508.798855062138,9655.409410266204,79182.93879082536,0.0
111,2,False,30,HighSchoolOrCollege,B,0.720330648,0.1893864889443289,1057,-2.201149572531972,3512.111273956546,0.0,4342.319206155192,8857.6269341791,9728.401232067952,27871.91510844644,0.0
112,2,False,23,Graduate,C,0.646977694,0.2890439973321547,26,-1664.7143233539068,2058.9072198973454,0.0,6458.926488569977,4035.7273976506817,11851.170791631785,157638.3417384227,0.0
113,2,False,51,Graduate,G,0.999233967,0.195132275770139,64,663.3720396817216,3786.540333108135,0.0,5856.883503564114,6488.836740313963,17669.219521716506,89354.54451094997,0.0
114,2,False,55,Graduate,G,0.413490065,0.2911798572125196,148,1714.3338865616502,3405.8116548795947,0.0,5857.566916752639,2378.662649790114,11880.432941734576,138705.08815834808,0.0
115,2,False,56,HighSchoolOrCollege,J,0.57753282,0.193353155622966,191,1714.3338865616502,3363.864233591916,0.0,4435.066978486933,6622.149916408037,11880.432941734576,58043.30254490063,0.0
116,2,False,43,Graduate,E,0.30282788,0.2301211670722097,723,-1555.0584159964717,2796.333830329136,0.0,4384.0867258480375,5011.7140659979095,9655.409410266204,191296.37765033843,0.0
117,2,False,22,Bachelors,F,0.760663448,0.1761055856962812,1034,-67.28527771284766,4514.923398245357,0.0,5917.783090461335,7849.278680204334,19836.54635490158,85733.72985671367,3436.519226336588
118,2,False,33,Bachelors,C,0.140611532,0.2103298171356611,794,-1547.0468829055117,2817.015853468676,0.0,4350.256882392307,6677.358784981449,9655.409410266204,149681.65548341474,0.0
119,2,False,32,Graduate,B,0.612907872,0.251687870916012,368,1224.5522042797263,540.7795376053093,0.0,6173.061838800009,6443.899106990882,11909.69509183737,135600.24697483916,0.0
120,2,False,31,HighSchoolOrCollege,E,0.876546337,0.1796356457214125,307,860.9945667525155,1631.175142849736,0.0,4927.610463226712,8890.342818032588,13613.186253645055,47257.97592129583,0.0
121,2,False,45,HighSchoolOrCollege,F,0.41537229,0.2852584410658315,31,-1406.9743418343592,896.4515376327631,0.0,6627.114967795936,4615.775367472762,11989.077640979687,57485.65675445767,0.0
122,2,False,37,HighSchoolOrCollege,A,0.159723746,0.2231928647565045,569,-1452.265339757918,2471.3675040326616,0.0,4340.697323888797,5422.402400724764,9685.090649323089,79072.40431422819,0.0
123,2,False,43,HighSchoolOrCollege,B,0.118152103,0.2144954622364472,1690,-3318.2481685138528,7599.189716477424,0.0,4005.2996639223447,4939.956713801818,9727.864359474168,78147.7469666308,0.0
124,2,False,49,Graduate,I,0.14336634,0.246033131071544,1733,-4584.719945687293,4739.946539702664,0.0,4465.595796036583,3956.923805330815,9727.864359474168,188192.830686382,0.0
125,2,False,50,Graduate,E,0.150075471,0.1785790191058137,1231,-2.201149572531972,3467.746482448624,0.0,4053.792489983472,8918.079301519567,9728.401232067952,169462.3693324185,0.0
126,2,False,26,HighSchoolOrCollege,A,0.72895287,0.2520718760793214,1158,-207.44845187574333,5260.805527774772,0.0,5964.281640315832,7574.367657348842,10122.386328693758,30712.51677519078,0.0
128,2,False,57,Bachelors,G,0.718790546,0.2415600184323858,281,1603.441866432816,4025.56333128745,0.0,6502.9930334202845,6017.01690254481,14400.806992356647,66972.3256706307,0.0
129,2,False,27,HighSchoolOrCollege,B,0.371183768,0.2106000462083362,39,1068.300420731133,1266.8599518512474,0.0,5649.571021005913,9187.418676181422,11989.077640979687,55705.91893483517,0.0
130,2,False,48,HighSchoolOrCollege,J,0.524660325,0.2604527451268831,54,1175.0720102138607,1558.1560150626235,0.0,6406.386850771836,6201.653298851438,11989.077640979687,55492.95682335862,0.0
131,2,False,26,Bachelors,H,0.802929522,0.156399027776296,323,596.9577270734897,3757.22103720393,0.0,4377.70732679735,9397.633374099616,14215.289349943032,46168.20733246726,0.0
132,2,False,36,Graduate,I,0.540291283,0.1863420377315634,168,-456.33824767475664,1395.2821634910958,0.0,4257.187752609464,6599.828834178132,11989.077640979687,127379.28168065178,0.0
133,2,False,27,HighSchoolOrCollege,I,0.551268581,0.2625228827851356,297,-493.7268707520858,1395.2821634910958,0.0,5835.020513463045,4402.613862272299,11989.077640979687,55033.53406495824,0.0
134,2,False,53,HighSchoolOrCollege,D,0.247000174,0.2512821597224255,965,-609.1483105484713,5120.376970751322,0.0,3883.57313460328,1721.8287239873832,9849.627415645124,77731.22350006856,0.0
135,2,False,59,HighSchoolOrCollege,E,0.86081073,0.2396685630047664,62,-450.65404881281165,1698.487043977634,0.0,6872.418776911317,9094.300325660295,12707.958505332435,51813.88243810258,0.0
136,2,False,34,Graduate,A,0.555650922,0.2690564248987899,312,-698.2068467228966,1573.275050194495,0.0,6319.598648623559,5179.3286929976375,11989.077640979687,124651.30672921332,0.0
137,2,False,34,HighSchoolOrCollege,C,0.87301128,0.2012955032526584,914,-207.8424974085501,5336.11805098548,0.0,4100.157600404437,5722.012883272806,10546.677971213854,32281.021669935413,0.0
138,2,False,49,HighSchoolOrCollege,H,0.732757238,0.2269059162385465,209,1313.929347588717,4437.056256727496,0.0,6467.798623495027,6012.434030852532,16024.086363475755,54559.64249265487,0.0
139,2,False,48,Bachelors,C,0.846097713,0.1906379915860136,20,1294.8797998333248,4462.162809061927,0.0,6098.129362090148,5669.731669135984,20220.145721031025,62001.62293685327,0.0
140,2,False,24,Bachelors,I,0.216307476,0.2421310763905542,1036,-2633.490867455981,6293.853486320795,0.0,4446.288565778239,4067.231087755124,9849.627415645124,147777.58553405572,0.0
141,2,False,24,Bachelors,B,0.792161061,0.2479497563574894,373,2222.694117829342,4594.880339745687,0.0,6629.453352190725,6896.014638841283,13211.615560010086,49920.377336196936,802.8790585705765
143,2,False,18,HighSchoolOrCollege,A,0.107753878,0.1553480511686937,1073,-490.4284848536776,5933.228355514893,0.0,3711.61719672424,10331.022904355146,9849.627415645124,77028.29955928575,0.0
144,2,False,23,HighSchoolOrCollege,I,0.444080663,0.2465427808368384,52,-1844.8861722131728,1645.3299966099307,0.0,6030.108408908955,6401.817458912364,12026.743692248549,53623.928912840325,0.0
145,2,False,30,HighSchoolOrCollege,F,0.882253016,0.1761463915616691,906,-369.94252946578285,5263.7092311840615,0.0,4361.311042758591,10427.417453867434,9970.853599222291,32783.22679008269,0.0
146,2,False,46,HighSchoolOrCollege,J,0.643761923,0.2527194821585701,185,1186.9602009739194,3164.371227730754,0.0,6204.383754741241,6319.349238651202,12026.743692248549,53753.84089663937,0.0
