participantId,venueId,venueType,count,distance
1006,1798,Pub,53,1562.1607600145414
1007,1800,Pub,449,260.7962546702378
1007,1803,Restaurant,10,991.6844272937308
1007,1802,Restaurant,621,114.00891998747174
1007,1801,Restaurant,13,839.9956151890527
1007,1799,Pub,59,598.9338276037807
1007,1805,Restaurant,1,1069.2912383100688
1007,1344,Pub,34,4606.59329421399
1007,1342,Pub,68,4014.473162170855
1007,899,Restaurant,1,3765.447366848238
1007,895,Restaurant,2,3570.1083245652885
1007,448,Restaurant,18,5147.392183145229
1007,1798,Pub,90,763.0547653085616
1008,1343,Pub,43,1949.4080696124745
1008,899,Restaurant,2,2383.03964145102
1008,1344,Pub,34,2359.257322610274
1008,897,Restaurant,109,860.4015009548989
1008,449,Restaurant,323,3863.3682073884224
1008,894,Pub,27,1415.8404100277476
1008,893,Pub,26,1468.2398999870786
1008,892,Pub,24,1437.391403012158
1008,895,Restaurant,9,1449.4923659343367
1009,892,Pub,65,1357.9401134862542
1009,893,Pub,137,1250.286442114693
1009,894,Pub,57,1213.290958305354
1009,895,Restaurant,105,1253.274781066468
1009,896,Restaurant,268,642.3621717991483
1009,898,Restaurant,337,801.8876658049755
1009,899,Restaurant,12,1592.7480682338844
1009,1343,Pub,256,2290.5070013457207
1009,1344,Pub,50,2364.0750899348386
101,1805,Restaurant,119,953.2853750710052
101,898,Restaurant,322,2760.4433200931417
1010,449,Restaurant,322,3793.187088137302
1010,892,Pub,74,1348.189957986697
1010,893,Pub,45,1379.6972675663565
1010,894,Pub,227,1328.1467916160634
1010,895,Restaurant,34,1361.019550462682
1010,897,Restaurant,106,776.0157513212431
1010,899,Restaurant,5,2293.970757698904
1010,1343,Pub,40,1871.4939703468456
1010,1344,Pub,36,2278.890847515857
102,1343,Pub,33,1570.1231464401217
102,1805,Restaurant,323,3383.124009142344
102,1345,Restaurant,115,949.2538597933188
102,1344,Pub,37,1287.919802169219
102,1342,Pub,246,319.31500857537947
102,899,Restaurant,2,673.4424453459226
102,895,Restaurant,10,1636.07703149394
102,893,Pub,49,1615.7945319315218
102,892,Pub,39,1619.8100625039276
102,448,Restaurant,12,1458.4610625224182
103,1802,Restaurant,322,3837.968851921024
103,1344,Pub,137,1392.4162698377777
103,1343,Pub,27,1704.1515454090204
103,1342,Pub,49,288.21169497291766
103,899,Restaurant,21,849.3077397928414
103,1345,Restaurant,101,948.1336687639816
103,893,Pub,24,1801.6646678888792
103,449,Restaurant,5,2224.4288597398986
103,448,Restaurant,7,1424.923926239099
103,442,Pub,27,1886.004386047552
103,895,Restaurant,8,1821.957186986495
104,1344,Pub,306,1308.6113916147058
104,1343,Pub,51,1725.8101279751943
104,1342,Pub,62,606.2322523194583
104,448,Restaurant,126,751.2983728631616
104,443,Pub,42,1630.5989826714874
104,442,Pub,78,1231.0797549377533
104,447,Restaurant,322,3434.4177891024387
105,899,Restaurant,53,3045.596885975121
105,1344,Pub,345,2642.691639024782
105,1349,Restaurant,9,3375.30867929116
105,1342,Pub,67,2453.224742963121
105,898,Restaurant,1,4008.403986919916
105,1343,Pub,43,3032.4123482167297
105,449,Restaurant,588,1220.3097241538808
105,448,Restaurant,29,1592.4619131142638
105,443,Pub,53,716.6728676792726
105,442,Pub,70,1554.3792276363454
105,895,Restaurant,17,3962.7812698873017
106,442,Pub,39,1456.2718701657102
106,443,Pub,64,656.4099089285182
106,449,Restaurant,255,1142.1118428546015
106,1342,Pub,321,2328.7081474782035
106,1343,Pub,20,2921.0187160610453
106,1344,Pub,29,2528.050468696455
107,1349,Restaurant,2,2990.878055023819
107,1344,Pub,25,2020.4909098219853
107,1342,Pub,26,3166.8910203787777
107,899,Restaurant,2,2684.095284922108
107,449,Restaurant,7,2760.090170076202
107,443,Pub,178,3270.060544650492
107,447,Restaurant,325,853.4212979229711
107,446,Restaurant,14,992.548498428114
107,444,Pub,19,1433.1677724667386
107,442,Pub,19,2489.9976043594183
107,448,Restaurant,328,2730.4560558250864
108,1342,Pub,36,339.672550094263
108,1344,Pub,55,1386.1022511226702
108,1343,Pub,50,1678.5934239507956
108,899,Restaurant,326,787.462503720536
108,1345,Restaurant,112,892.1018322946134
108,893,Pub,26,1721.50750861839
108,449,Restaurant,3,2291.3843982583758
108,448,Restaurant,1,1488.4407154839157
108,442,Pub,30,1942.5262507076525
108,895,Restaurant,6,1741.741749917198
109,1802,Restaurant,322,3876.366712349332
109,1344,Pub,136,2519.377058062043
109,1343,Pub,121,2163.4625199315897
109,899,Restaurant,12,2295.508544774372
109,897,Restaurant,101,692.4935847511791
109,894,Pub,170,1214.2679690066918
109,893,Pub,81,1298.9986288514258
109,892,Pub,87,1322.3112189666465
109,895,Restaurant,42,1278.7514335617725
11,1805,Restaurant,1,1648.5347512852743
11,1804,Restaurant,216,503.2647674872604
11,1802,Restaurant,8,668.2137079304183
11,1801,Restaurant,58,1482.7556436514565
11,1800,Pub,50,1012.5382300401064
11,1799,Pub,34,1241.6003779795344
11,1344,Pub,84,5362.827841747544
11,1342,Pub,33,4752.89363756235
11,899,Restaurant,21,4520.938285084926
11,898,Restaurant,186,3871.870711121312
11,448,Restaurant,10,5891.182812368352
11,1798,Pub,347,1466.0980670400306
110,892,Pub,113,1336.7084428508867
110,893,Pub,62,1311.7012794666389
110,894,Pub,207,1226.208458306383
110,895,Restaurant,34,1291.4894467624883
110,897,Restaurant,121,709.7163695662
110,1343,Pub,60,2184.2870713592715
110,1344,Pub,53,2538.726801332796
110,1805,Restaurant,322,2755.1137052534887
111,1343,Pub,275,500.78279726537096
111,1344,Pub,62,428.9107400624263
111,1342,Pub,77,1535.907557892899
111,894,Pub,48,1736.6669738983014
111,899,Restaurant,276,1280.937338191151
111,892,Pub,43,1552.6404847186918
111,446,Restaurant,1,2355.023031446952
112,1344,Pub,81,2319.3577070367705
112,1342,Pub,34,3282.753691211356
112,899,Restaurant,9,2580.2047410762502
112,898,Restaurant,3,2287.164947456485
112,449,Restaurant,44,3639.827519946036
112,1349,Restaurant,2,2711.488569217751
112,447,Restaurant,500,2205.9047685236183
112,446,Restaurant,26,2251.272968017168
112,444,Pub,58,2683.005583550039
112,443,Pub,233,4156.009663956977
112,442,Pub,60,3263.0900801276416
112,448,Restaurant,18,3320.9674423285114
113,1349,Restaurant,1,2066.0751497110687
113,1344,Pub,27,893.9892519257594
113,1342,Pub,31,1545.993235408883
113,899,Restaurant,3,1645.675660219929
113,449,Restaurant,21,777.2895432756745
113,446,Restaurant,6,2604.393277497029
113,444,Pub,37,2855.9623348598643
113,443,Pub,25,1272.7462947181498
113,442,Pub,417,364.2686070449854
113,448,Restaurant,617,606.8788889708528
114,449,Restaurant,342,677.9486054189363
114,1344,Pub,17,1996.897974344119
114,899,Restaurant,1,2760.2139591484784
114,448,Restaurant,9,1416.2746806055648
114,1342,Pub,34,2554.466649381601
114,444,Pub,16,2647.226397309726
114,442,Pub,148,951.5754626016286
114,446,Restaurant,327,2565.7018270992958
114,443,Pub,15,938.238467583375
115,442,Pub,40,977.9572381280911
115,443,Pub,35,979.977123798316
115,444,Pub,199,2608.07903268052
115,446,Restaurant,12,2529.631723773831
115,448,Restaurant,3,1445.809333678634
115,449,Restaurant,111,715.6120207085614
115,1342,Pub,42,2581.278277676536
115,1344,Pub,166,2007.2318694973967
115,447,Restaurant,322,2122.4540429358185
116,899,Restaurant,3,1852.5763173026048
116,1344,Pub,29,1713.6873044426654
116,1343,Pub,23,1296.3507715074982
116,1801,Restaurant,322,4185.681448108663
116,897,Restaurant,103,718.7032036271261
116,894,Pub,43,1079.267105404318
116,893,Pub,20,1091.480841310305
116,892,Pub,189,1019.3821807539052
116,895,Restaurant,36,1077.8443308784708
117,1349,Restaurant,3,1129.3367914435496
117,1344,Pub,253,656.329417072905
117,1343,Pub,54,1056.656762246627
117,1342,Pub,81,546.5061359731797
117,899,Restaurant,6,753.8511045563193
117,895,Restaurant,2,1683.3866577000542
117,448,Restaurant,623,775.2667658200587
117,443,Pub,74,1885.37490566896
117,442,Pub,68,1156.856392524736
117,449,Restaurant,5,1558.8775450522476
118,1343,Pub,94,1277.8478433550838
118,1801,Restaurant,322,4169.58569596603
118,1344,Pub,77,1694.45417185132
118,899,Restaurant,14,1830.4129151725483
118,892,Pub,68,998.5000074275072
118,895,Restaurant,58,1057.749972766464
118,894,Pub,93,1059.9284864668564
118,893,Pub,94,1071.256062611746
118,897,Restaurant,93,707.3269516598417
119,1349,Restaurant,1,4825.25248984422
119,1342,Pub,103,4724.80784088525
119,899,Restaurant,15,4453.941966621972
119,449,Restaurant,40,3474.5088997662865
119,448,Restaurant,28,3887.4299926080366
119,1344,Pub,68,3638.8557675090647
119,446,Restaurant,306,1041.2105442629688
119,444,Pub,230,599.7837585684258
119,443,Pub,87,3843.227467410928
119,442,Pub,112,3460.61341754882
119,447,Restaurant,322,1304.7473465319883
12,1802,Restaurant,321,3504.998238245103
12,1348,Restaurant,131,55.36826386927696
12,1344,Pub,35,2501.158249368578
12,1343,Pub,34,2811.289649929633
12,1342,Pub,240,1360.0805207583464
12,895,Restaurant,9,2727.5514845155526
12,893,Pub,38,2708.523412104171
12,892,Pub,75,2741.719563212005
12,448,Restaurant,15,2312.204468384489
12,899,Restaurant,1,1891.0717655507187
120,1344,Pub,82,2495.966478166615
120,1342,Pub,105,3575.4040908614443
120,447,Restaurant,234,363.0588640563726
120,448,Restaurant,5,2766.0338839212022
120,443,Pub,207,2869.430811182597
120,442,Pub,89,2362.69389768416
120,444,Pub,157,704.4361064882221
121,1349,Restaurant,2,3836.5829754582896
121,1342,Pub,55,4285.897451911077
121,899,Restaurant,61,3648.170841297108
121,898,Restaurant,1,3466.343891579645
121,895,Restaurant,6,2983.4152143402807
121,449,Restaurant,24,4197.557062704387
121,1344,Pub,257,3206.998358010337
121,447,Restaurant,552,2039.3605978911253
121,446,Restaurant,45,1844.986872462625
121,444,Pub,127,2177.702041982486
121,443,Pub,45,4711.738541913886
121,442,Pub,74,3899.1745424850974
121,448,Restaurant,16,4080.8950387617297
122,1805,Restaurant,322,3907.555757418481
122,1344,Pub,59,1866.1957345515289
122,1343,Pub,60,1439.075097559106
122,899,Restaurant,3,2121.9703847740407
122,895,Restaurant,26,1411.0390065705035
122,894,Pub,70,1416.3960788539796
122,893,Pub,86,1423.7525342520298
122,892,Pub,89,1345.8685106530152
122,897,Restaurant,120,1045.986811538989
123,1800,Pub,226,1320.7503004723148
123,1803,Restaurant,121,452.3108521827412
123,1802,Restaurant,19,1152.597464499608
123,1801,Restaurant,4,944.987633728608
123,1798,Pub,26,1116.815954690296
123,1344,Pub,8,4838.320025640864
123,1349,Restaurant,322,3583.4029400845084
123,1799,Pub,33,1733.0532169927578
123,1342,Pub,24,3996.324961369892
123,448,Restaurant,3,5139.608891233803
124,1805,Restaurant,130,1000.4802074512378
124,1801,Restaurant,3,2414.731987417815
124,1800,Pub,30,1808.920795496856
124,1799,Pub,207,1404.3476969726037
124,1802,Restaurant,4,2017.74460645851
124,1344,Pub,23,4443.195655895741
124,1342,Pub,16,4333.723437766432
124,899,Restaurant,325,3771.608003342696
124,448,Restaurant,1,5294.3795282872425
124,1798,Pub,29,2223.7511610599445
125,448,Restaurant,14,1160.0147928398776
125,892,Pub,433,1561.9090847676482
125,894,Pub,71,1746.2343526971113
125,895,Restaurant,93,1670.5311013973248
125,899,Restaurant,250,1315.3627080547162
125,1342,Pub,71,1579.6583039709076
125,1343,Pub,60,506.2144162278589
125,1344,Pub,85,467.3356142286264
126,1344,Pub,21,1382.8752142981912
126,1345,Restaurant,306,1132.6320580252907
126,1343,Pub,20,1734.3299326495744
126,1342,Pub,307,240.56765236513655
126,446,Restaurant,322,4113.861909423985
126,443,Pub,23,2217.886912448099
126,442,Pub,17,1727.4813354279977
126,448,Restaurant,9,1254.7401342864264
128,1344,Pub,22,1835.300395097214
128,1342,Pub,26,2115.4895483655387
128,899,Restaurant,1,2469.829191351561
128,898,Restaurant,2,3389.844360117772
128,1343,Pub,108,2157.577139731378
128,449,Restaurant,652,196.31314015538723
128,448,Restaurant,7,976.7137603248988
128,443,Pub,26,375.45630754422217
128,442,Pub,292,639.9056052454946
128,895,Restaurant,4,3230.166791100452
129,1349,Restaurant,1,4123.892027286268
129,442,Pub,128,2726.7223287204192
129,443,Pub,93,3160.544963852561
129,444,Pub,307,447.7361337580636
129,446,Restaurant,634,658.4893903586884
129,448,Restaurant,47,3147.387595470509
129,449,Restaurant,29,2764.5120346462595
129,899,Restaurant,22,3742.2672994942886
129,1342,Pub,165,3987.212716421117
129,1344,Pub,90,2914.33385686755
13,1342,Pub,53,1711.2437161932733
13,899,Restaurant,5,1702.198632841326
13,1344,Pub,191,879.7566890323027
13,449,Restaurant,1,947.6355170098888
13,1349,Restaurant,6,2125.111865075871
13,446,Restaurant,51,2350.9664822421046
13,444,Pub,259,2612.7452361475903
13,443,Pub,44,1462.5289456548403
13,442,Pub,59,590.258755669807
13,448,Restaurant,648,860.9930390993334
130,1344,Pub,69,2710.1119229306896
130,1342,Pub,22,3753.3628584816543
130,899,Restaurant,11,3552.781201110653
130,895,Restaurant,1,3630.927470526721
130,449,Restaurant,323,2463.311444935879
130,448,Restaurant,4,2874.091361043929
130,446,Restaurant,51,843.79503590203
130,445,Restaurant,1,701.4199842501073
130,444,Pub,299,745.0340237830783
130,443,Pub,11,2852.54862922518
130,442,Pub,17,2442.546460327004
130,447,Restaurant,315,680.3193245571672
131,1342,Pub,89,1531.451460086195
131,1344,Pub,94,831.7030174982744
131,899,Restaurant,1,1599.386073505723
131,443,Pub,131,1345.3060171066693
131,444,Pub,71,2829.957510888776
131,442,Pub,274,435.8633898338529
131,448,Restaurant,223,643.2198803378016
132,442,Pub,51,2959.643484962577
132,443,Pub,151,3715.1360418874383
132,444,Pub,277,1311.1230574198155
132,446,Restaurant,56,893.1253563475755
132,447,Restaurant,227,981.4800723743648
132,448,Restaurant,13,3211.832614870236
132,1342,Pub,58,3636.148561979796
132,1344,Pub,27,2493.44071613736
133,898,Restaurant,1,3213.260529978191
133,1344,Pub,19,2497.173298406322
133,1342,Pub,35,3638.35425694266
133,899,Restaurant,4,3119.170434106727
133,449,Restaurant,11,3233.358477479409
133,442,Pub,32,2977.772523909911
133,447,Restaurant,155,1017.8720881852072
133,446,Restaurant,347,929.5914932722816
133,444,Pub,128,1346.1707823914105
133,443,Pub,132,3738.060364891993
133,448,Restaurant,9,3225.4616600345444
134,1345,Restaurant,130,921.7908041234368
134,1343,Pub,9,1572.4983194708957
134,1342,Pub,42,361.197829975021
134,899,Restaurant,2,658.1387644375834
134,1344,Pub,11,1300.0885726498532
134,895,Restaurant,9,1608.233675395332
134,893,Pub,14,1587.988440725983
134,892,Pub,22,1594.3671031218796
134,448,Restaurant,2,1496.3934357080734
134,898,Restaurant,322,1397.9855612757408
135,1344,Pub,141,2191.1220292187604
135,1342,Pub,155,3333.0947840332806
135,899,Restaurant,26,2823.14367125469
135,449,Restaurant,1,2966.26484018203
135,448,Restaurant,32,2928.688600655345
135,446,Restaurant,35,1000.8632806804518
135,444,Pub,187,1441.404443822992
135,443,Pub,149,3476.094684645202
135,442,Pub,143,2694.599883626731
135,1349,Restaurant,1,3113.468792054223
135,447,Restaurant,563,951.530484203013
136,899,Restaurant,7,2926.542517975606
136,449,Restaurant,338,3220.9854408202827
136,1344,Pub,32,2352.670513966249
136,1342,Pub,423,3480.513681744781
136,448,Restaurant,127,3146.049328048019
136,446,Restaurant,33,1174.904315303261
136,447,Restaurant,255,1197.300587573348
136,444,Pub,75,1602.3019428466296
136,443,Pub,56,3733.7231812202526
136,442,Pub,54,2934.740248766057
137,1344,Pub,39,1458.1764263319935
137,1343,Pub,57,1808.5336735320743
137,1342,Pub,34,314.40106470761623
137,895,Restaurant,2,2036.2794899261048
137,1345,Restaurant,198,1095.2265310361013
137,448,Restaurant,1,1308.2659569665975
137,445,Restaurant,260,3438.6548765618663
137,443,Pub,350,2250.57889335872
137,442,Pub,21,1783.8052212160744
137,449,Restaurant,1,2089.829730787726
138,1344,Pub,60,1638.1767038148398
138,1343,Pub,64,2019.8017322310416
138,1342,Pub,52,1680.98966055948
138,899,Restaurant,2,2135.7066195533025
138,449,Restaurant,628,436.7853821971729
138,448,Restaurant,13,617.3043751182939
138,443,Pub,76,505.5180173762836
138,442,Pub,218,566.1911052594751
138,895,Restaurant,5,2990.8600216508507
139,1343,Pub,37,2013.9244567777137
139,1349,Restaurant,2,2485.6334058985185
139,1344,Pub,40,1629.1158602798926
139,1342,Pub,37,1654.435397113513
139,899,Restaurant,3,2116.0996283635022
139,449,Restaurant,274,465.58407473065023
139,448,Restaurant,330,600.7014594346223
139,443,Pub,332,529.4827844674604
139,442,Pub,53,574.9937876017018
139,895,Restaurant,1,2977.0306417703505
14,1343,Pub,71,2157.577139731378
14,1344,Pub,63,1835.300395097214
14,1342,Pub,61,2115.4895483655387
14,899,Restaurant,2,2469.829191351561
14,449,Restaurant,602,196.31314015538723
14,448,Restaurant,10,976.7137603248988
14,443,Pub,79,375.45630754422217
14,442,Pub,262,639.9056052454946
14,895,Restaurant,8,3230.166791100452
140,1800,Pub,29,1164.9859697662955
140,1805,Restaurant,324,1521.2706216986178
140,1801,Restaurant,126,628.9486082962444
140,1799,Pub,180,1310.8901544994096
140,448,Restaurant,1,3836.130860919306
140,1344,Pub,27,3410.642366189303
140,1342,Pub,25,2690.419594269274
140,899,Restaurant,2,2552.094934163242
140,1798,Pub,27,607.9646262669414
141,899,Restaurant,8,3045.188802582839
141,1342,Pub,110,2520.3245870862083
141,898,Restaurant,4,4002.044066864524
141,1349,Restaurant,2,3401.925358633136
141,1344,Pub,73,2551.383225764492
141,896,Restaurant,320,4359.879913560889
141,1343,Pub,235,2917.074822422749
141,449,Restaurant,277,1002.8698496008188
141,448,Restaurant,26,1537.8389036177018
141,447,Restaurant,3,3434.770768346887
141,895,Restaurant,42,3913.111992808616
141,443,Pub,102,485.5943676404627
141,442,Pub,92,1395.403660862462
143,1344,Pub,49,2072.1262246873057
143,1343,Pub,71,2381.6811112631485
143,1342,Pub,458,935.7758019767804
143,899,Restaurant,10,1473.527625852135
143,1348,Restaurant,203,374.7741965085597
143,893,Pub,51,2332.339483939272
143,892,Pub,59,2357.115015619598
143,448,Restaurant,84,1946.0308516326825
143,895,Restaurant,229,2351.8980868413614
144,1349,Restaurant,1,3152.415975405449
144,1344,Pub,42,2757.9164956831296
144,1342,Pub,60,3733.679638588109
144,899,Restaurant,5,3030.164644371564
144,449,Restaurant,5,4021.5935753440754
144,448,Restaurant,16,3743.525288352983
144,447,Restaurant,262,2342.975426649143
144,445,Restaurant,321,2501.8781046601966
144,444,Pub,240,2710.6960110219334
144,443,Pub,138,4540.275770841665
144,442,Pub,48,3660.2324604407577
144,446,Restaurant,51,2303.351154188138
145,1343,Pub,40,1717.1778633968477
145,1345,Restaurant,117,995.4083139515564
145,1342,Pub,46,261.574051409567
145,1344,Pub,178,1393.120045967409
145,449,Restaurant,322,2175.015218198638
145,442,Pub,19,1843.590116394085
145,893,Pub,296,1852.4067033079968
146,442,Pub,31,856.6383767522054
146,443,Pub,38,1329.73198334588
146,444,Pub,244,2270.323330760646
146,446,Restaurant,67,2116.4995830101443
146,447,Restaurant,321,1686.9580084502682
146,448,Restaurant,5,1321.7193151193226
146,449,Restaurant,267,874.4099509806663
146,899,Restaurant,45,2410.013929294803
146,1342,Pub,24,2358.2283831442214
146,1344,Pub,204,1582.9011081439833
147,1344,Pub,219,2007.3301999230175
147,1342,Pub,28,2643.0886531724677
147,449,Restaurant,201,831.2218710692399
147,448,Restaurant,3,1521.938169104456
147,444,Pub,315,2460.348638783448
147,443,Pub,21,1125.6403896106892
147,442,Pub,28,1044.822101761474
147,446,Restaurant,67,2386.1418615184525
148,1805,Restaurant,322,1549.6653617217853
148,1802,Restaurant,3,1440.222249111433
148,1801,Restaurant,112,639.914696441552
148,1800,Pub,23,1188.310963886437
148,1799,Pub,22,1338.052942405901
148,1798,Pub,32,626.5537766281277
148,1342,Pub,158,2676.1767851846907
148,899,Restaurant,1,2545.5037068299007
148,448,Restaurant,13,3822.547455311252
148,1344,Pub,16,3404.182869787101
149,1343,Pub,33,1723.661763868717
149,1345,Restaurant,365,975.3537057116808
149,1344,Pub,18,1403.0241959270618
149,895,Restaurant,8,1865.900091492136
149,1342,Pub,412,277.0509514359919
149,893,Pub,38,1845.5900945909164
149,449,Restaurant,322,2195.1407164990705
149,448,Restaurant,67,1398.2289311325237
149,442,Pub,26,1862.8358152585256
15,1802,Restaurant,1,2567.839023867251
15,1800,Pub,15,2262.473784666653
15,1799,Pub,323,2268.4507732395696
15,1798,Pub,23,1776.040899495873
15,1805,Restaurant,14,2269.02358823865
15,1344,Pub,25,2254.816831496579
15,1345,Restaurant,109,537.2430404527036
15,448,Restaurant,324,2658.8149988557648
15,1801,Restaurant,1,1813.001045839804
15,899,Restaurant,2,1399.9661455375551
15,1342,Pub,28,1520.854652746734
150,448,Restaurant,1,1540.3583071026214
150,892,Pub,89,1665.9614251267933
150,895,Restaurant,24,1676.3087419498731
150,897,Restaurant,322,2298.8270592929543
150,899,Restaurant,2,740.6148190057677
150,1342,Pub,36,392.76895004202765
150,1343,Pub,23,1658.8614602709065
150,1344,Pub,19,1383.033972662339
150,1345,Restaurant,110,855.2568678813111
150,893,Pub,91,1656.13982156548
151,1344,Pub,26,1334.3727495812884
151,1345,Restaurant,124,885.165208065465
151,1343,Pub,211,1602.9595019947726
151,1342,Pub,40,391.1216639193447
151,895,Restaurant,3,1616.799657542883
151,893,Pub,17,1596.6038690364403
151,892,Pub,20,1605.4078766884388
151,448,Restaurant,2,1530.206830309498
152,1349,Restaurant,1,3351.7560315823066
152,1344,Pub,29,2760.364309429256
152,1343,Pub,38,3169.3597137963043
152,1342,Pub,36,2399.7858669529646
152,895,Restaurant,4,4017.863637645291
152,448,Restaurant,7,1704.6371879400676
152,447,Restaurant,322,4047.961892199943
152,443,Pub,189,1041.430019867692
152,442,Pub,54,1770.589101138547
152,449,Restaurant,330,1502.384152849996
153,895,Restaurant,1,2144.447862629509
153,1344,Pub,74,2550.9002097999755
153,1342,Pub,337,3559.380952849581
153,899,Restaurant,16,2876.5246618647666
153,449,Restaurant,34,3774.4451417933255
153,442,Pub,76,3419.4030754869177
153,447,Restaurant,558,2098.7486006934546
153,446,Restaurant,61,2081.6054858447565
153,444,Pub,111,2498.540854969732
153,443,Pub,98,4293.570343001853
153,448,Restaurant,104,3517.708608554952
155,1343,Pub,42,2392.50315079722
155,1348,Restaurant,113,365.7289839010366
155,1342,Pub,241,941.2949316571674
155,1344,Pub,49,2080.1615099659384
155,893,Pub,40,2351.592354308581
155,892,Pub,49,2375.759149467971
155,448,Restaurant,43,1942.0008626832528
155,895,Restaurant,6,2371.1813837556324
156,1344,Pub,66,3622.7896794596495
156,899,Restaurant,5,4403.867924443766
156,1342,Pub,17,4742.006495808684
156,449,Restaurant,323,3653.0483037040726
156,442,Pub,15,3588.317726397459
156,446,Restaurant,369,881.6627600455167
156,444,Pub,312,527.4887267863461
